Agency,Mode,Date,Week Number,Current,Baseline,Lowest
San Francisco BART Rail,Transit,04/08/2020,15,25507,403524,
San Francisco BART Rail,Transit,04/09/2020,15,24688,403524,
San Francisco BART Rail,Transit,04/10/2020,15,24401,403524,
San Francisco BART Rail,Transit,04/11/2020,15,11292,153741,
San Francisco BART Rail,Transit,04/12/2020,15,7582,94951,7582
San Francisco BART Rail,Transit,04/13/2020,16,24271,403524,7582
San Francisco BART Rail,Transit,04/14/2020,16,23890,403524,7582
San Francisco BART Rail,Transit,04/15/2020,16,24498,403524,7582
San Francisco BART Rail,Transit,04/16/2020,16,23779,403524,7582
San Francisco BART Rail,Transit,04/17/2020,16,24006,403524,7582
San Francisco BART Rail,Transit,04/18/2020,16,11249,153741,7582
San Francisco BART Rail,Transit,04/19/2020,16,8205,94951,7582
San Francisco BART Rail,Transit,04/20/2020,17,22997,403524,7582
San Francisco BART Rail,Transit,04/21/2020,17,23277,403524,7582
San Francisco BART Rail,Transit,04/22/2020,17,24205,403524,7582
San Francisco BART Rail,Transit,04/23/2020,17,24093,403524,7582
San Francisco BART Rail,Transit,04/24/2020,17,24530,403524,7582
San Francisco BART Rail,Transit,04/25/2020,17,11895,153741,7582
San Francisco BART Rail,Transit,04/26/2020,17,8763,94951,7582
San Francisco BART Rail,Transit,04/27/2020,18,24209,403524,7582
San Francisco BART Rail,Transit,04/28/2020,18,25007,403524,7582
San Francisco BART Rail,Transit,04/29/2020,18,25302,403524,7582
San Francisco BART Rail,Transit,04/30/2020,18,25687,403524,7582
San Francisco BART Rail,Transit,05/01/2020,18,27074,405999,7582
San Francisco BART Rail,Transit,05/02/2020,18,13163,142863,7582
San Francisco BART Rail,Transit,05/03/2020,18,9963,104177,7582
San Francisco BART Rail,Transit,05/04/2020,19,27070,405999,7582
San Francisco BART Rail,Transit,05/05/2020,19,27562,405999,7582
San Francisco BART Rail,Transit,05/06/2020,19,27768,405999,7582
San Francisco BART Rail,Transit,05/07/2020,19,28113,405999,7582
San Francisco BART Rail,Transit,05/08/2020,19,28220,405999,7582
San Francisco BART Rail,Transit,05/09/2020,19,13679,142863,7582
San Francisco BART Rail,Transit,05/10/2020,19,10221,104177,7582
San Francisco BART Rail,Transit,05/11/2020,20,27408,405999,7582
San Francisco BART Rail,Transit,05/12/2020,20,28173,405999,7582
San Francisco BART Rail,Transit,05/13/2020,20,29119,405999,7582
San Francisco BART Rail,Transit,05/14/2020,20,28966,405999,7582
San Francisco BART Rail,Transit,05/15/2020,20,30170,405999,7582
San Francisco BART Rail,Transit,05/16/2020,20,14484,142863,7582
San Francisco BART Rail,Transit,05/17/2020,20,9980,104177,7582
San Francisco BART Rail,Transit,05/18/2020,21,29555,405999,7582
San Francisco BART Rail,Transit,05/19/2020,21,30978,405999,7582
San Francisco BART Rail,Transit,05/20/2020,21,31271,405999,7582
San Francisco BART Rail,Transit,05/21/2020,21,31384,405999,7582
San Francisco BART Rail,Transit,05/22/2020,21,31376,405999,7582
San Francisco BART Rail,Transit,05/23/2020,21,15186,142863,7582
San Francisco BART Rail,Transit,05/24/2020,21,11720,104177,7582
San Francisco BART Rail,Transit,05/25/2020,22,13133,97535,7582
San Francisco BART Rail,Transit,05/26/2020,22,32527,405999,7582
San Francisco BART Rail,Transit,05/27/2020,22,33004,405999,7582
San Francisco BART Rail,Transit,05/28/2020,22,33681,405999,7582
San Francisco BART Rail,Transit,05/29/2020,22,34152,405999,7582
San Francisco BART Rail,Transit,05/30/2020,22,15568,142863,7582
San Francisco BART Rail,Transit,05/31/2020,22,11924,104177,7582
San Francisco BART Rail,Transit,06/01/2020,23,32142,405460,7582
San Francisco BART Rail,Transit,06/02/2020,23,32711,405460,7582
San Francisco BART Rail,Transit,06/03/2020,23,37911,405460,7582
San Francisco BART Rail,Transit,06/04/2020,23,34725,405460,7582
San Francisco BART Rail,Transit,06/05/2020,23,35404,405460,7582
San Francisco BART Rail,Transit,06/06/2020,23,18021,154457,7582
San Francisco BART Rail,Transit,06/07/2020,23,13339,120876,7582
San Francisco BART Rail,Transit,06/08/2020,24,37361,405460,7582
San Francisco BART Rail,Transit,06/09/2020,24,38406,405460,7582
San Francisco BART Rail,Transit,06/10/2020,24,39235,405460,7582
San Francisco BART Rail,Transit,06/11/2020,24,39676,405460,7582
San Francisco BART Rail,Transit,06/12/2020,24,39177,405460,7582
San Francisco BART Rail,Transit,06/13/2020,24,21186,154457,7582
San Francisco BART Rail,Transit,06/14/2020,24,15364,120876,7582
San Francisco BART Rail,Transit,06/15/2020,25,41832,405460,7582
San Francisco BART Rail,Transit,06/16/2020,25,43515,405460,7582
San Francisco BART Rail,Transit,06/17/2020,25,44268,405460,7582
San Francisco BART Rail,Transit,06/18/2020,25,44528,405460,7582
San Francisco BART Rail,Transit,06/19/2020,25,47163,405460,7582
San Francisco BART Rail,Transit,06/20/2020,25,22908,154457,7582
San Francisco BART Rail,Transit,06/21/2020,25,16413,120876,7582
San Francisco BART Rail,Transit,06/22/2020,26,43671,405460,7582
San Francisco BART Rail,Transit,06/23/2020,26,45289,405460,7582
San Francisco BART Rail,Transit,06/24/2020,26,45321,405460,7582
San Francisco BART Rail,Transit,06/25/2020,26,45045,405460,7582
San Francisco BART Rail,Transit,06/26/2020,26,45002,405460,7582
San Francisco BART Rail,Transit,06/27/2020,26,22997,154457,7582
San Francisco BART Rail,Transit,06/28/2020,26,17640,120876,7582
San Francisco BART Rail,Transit,06/29/2020,27,43863,405460,7582
San Francisco BART Rail,Transit,06/30/2020,27,45628,405460,7582
San Francisco BART Rail,Transit,07/01/2020,27,47183,414900,7582
San Francisco BART Rail,Transit,07/02/2020,27,46450,414900,7582
San Francisco BART Rail,Transit,07/03/2020,27,32725,414900,7582
San Francisco BART Rail,Transit,07/04/2020,27,18568,135500,7582
San Francisco BART Rail,Transit,07/05/2020,27,17169,107700,7582
San Francisco BART Rail,Transit,07/06/2020,28,43928,414900,7582
San Francisco BART Rail,Transit,07/07/2020,28,47220,414900,7582
San Francisco BART Rail,Transit,07/08/2020,28,47231,414900,7582
San Francisco BART Rail,Transit,07/09/2020,28,46946,414900,7582
San Francisco BART Rail,Transit,07/10/2020,28,45972,414900,7582
San Francisco BART Rail,Transit,07/11/2020,28,23874,135500,7582
San Francisco BART Rail,Transit,07/12/2020,28,17777,107700,7582
San Francisco BART Rail,Transit,07/13/2020,29,45336,414900,7582
San Francisco BART Rail,Transit,07/14/2020,29,46264,414900,7582
San Francisco BART Rail,Transit,07/15/2020,29,46456,414900,7582
San Francisco BART Rail,Transit,07/16/2020,29,46021,414900,7582
San Francisco BART Rail,Transit,07/17/2020,29,45652,414900,7582
San Francisco BART Rail,Transit,07/18/2020,29,22612,135500,7582
San Francisco BART Rail,Transit,07/19/2020,29,17258,107700,7582
San Francisco BART Rail,Transit,07/20/2020,30,42089,414900,7582
San Francisco BART Rail,Transit,07/21/2020,30,45290,414900,7582
San Francisco BART Rail,Transit,07/22/2020,30,45712,414900,7582
San Francisco BART Rail,Transit,07/23/2020,30,45847,414900,7582
San Francisco BART Rail,Transit,07/24/2020,30,44300,414900,7582
San Francisco BART Rail,Transit,07/25/2020,30,22791,135500,7582
San Francisco BART Rail,Transit,07/26/2020,30,17185,107700,7582
San Francisco BART Rail,Transit,07/27/2020,31,43318,414900,7582
San Francisco BART Rail,Transit,07/28/2020,31,45085,414900,7582
San Francisco BART Rail,Transit,07/29/2020,31,45918,414900,7582
San Francisco BART Rail,Transit,07/30/2020,31,45899,414900,7582
San Francisco BART Rail,Transit,07/31/2020,31,45818,414900,7582
San Francisco BART Rail,Transit,08/01/2020,31,24892,156900,7582
San Francisco BART Rail,Transit,08/02/2020,31,17192,103000,7582
San Francisco BART Rail,Transit,08/03/2020,32,45111,415000,7582
San Francisco BART Rail,Transit,08/04/2020,32,45897,415000,7582
San Francisco BART Rail,Transit,08/05/2020,32,46389,415000,7582
San Francisco BART Rail,Transit,08/06/2020,32,46782,415000,7582
San Francisco BART Rail,Transit,08/07/2020,32,46015,415000,7582
San Francisco BART Rail,Transit,08/08/2020,32,23595,156900,7582
San Francisco BART Rail,Transit,08/09/2020,32,17962,103000,7582
San Francisco BART Rail,Transit,08/10/2020,33,46149,415000,7582
San Francisco BART Rail,Transit,08/11/2020,33,46425,415000,7582
San Francisco BART Rail,Transit,08/12/2020,33,46863,415000,7582
San Francisco BART Rail,Transit,08/13/2020,33,46740,415000,7582
San Francisco BART Rail,Transit,08/14/2020,33,45321,415000,7582
San Francisco BART Rail,Transit,08/15/2020,33,23380,156900,7582
San Francisco BART Rail,Transit,08/16/2020,33,16006,103000,7582
San Francisco BART Rail,Transit,08/17/2020,34,43891,415000,7582
San Francisco BART Rail,Transit,08/18/2020,34,46699,415000,7582
San Francisco BART Rail,Transit,08/19/2020,34,46316,415000,7582
San Francisco BART Rail,Transit,08/20/2020,34,46162,415000,7582
San Francisco BART Rail,Transit,08/21/2020,34,45449,415000,7582
San Francisco BART Rail,Transit,08/22/2020,34,22486,156900,7582
San Francisco BART Rail,Transit,08/23/2020,34,16462,103000,7582
New York City MTA Rail,Transit,10/10/2020,42,3232065,2918051,140455
New York City MTA Rail,Transit,10/11/2020,42,3642535,2853395,140455
New York City MTA Rail,Transit,10/12/2020,42,2370923,4412627,140455
New York City MTA Rail,Transit,10/13/2020,42,1662252,6036725,140455
New York City MTA Rail,Transit,10/14/2020,42,1786669,6119631,140455
New York City MTA Rail,Transit,10/15/2020,42,1796230,6301386,140455
New York City MTA Rail,Transit,10/16/2020,42,1626375,6580707,140455
San Francisco BART Rail,Transit,10/12/2020,42,45029,425900,7582
San Francisco BART Rail,Transit,10/13/2020,42,52731,425900,7582
San Francisco BART Rail,Transit,10/14/2020,42,53138,425900,7582
San Francisco BART Rail,Transit,10/15/2020,42,54067,425900,7582
San Francisco BART Rail,Transit,10/16/2020,42,53412,425900,7582
San Francisco BART Rail,Transit,10/17/2020,42,30736,161700,7582
San Francisco BART Rail,Transit,10/18/2020,42,21609,111200,7582
WMATA Bus and Rail,Transit,10/12/2020,42,191000,501469,51000
WMATA Bus and Rail,Transit,10/13/2020,42,281000,1159848,51000
WMATA Bus and Rail,Transit,10/14/2020,42,284000,1090865,51000
WMATA Bus and Rail,Transit,10/15/2020,42,282000,1134091,51000
WMATA Bus and Rail,Transit,10/16/2020,42,276000,1027329,51000
WMATA Bus and Rail,Transit,10/17/2020,42,205000,489583,51000
WMATA Bus and Rail,Transit,10/18/2020,42,142000,267629,51000
WMATA Bus and Rail,Transit,10/19/2020,43,264000,1079925,51000
WMATA Bus and Rail,Transit,10/20/2020,43,285000,1084943,51000
WMATA Bus and Rail,Transit,10/21/2020,43,279000,1177519,51000
WMATA Bus and Rail,Transit,10/22/2020,43,279000,1167424,51000
WMATA Bus and Rail,Transit,10/23/2020,43,293000,1126442,51000
WMATA Bus and Rail,Transit,10/24/2020,43,202000,567059,51000
WMATA Bus and Rail,Transit,10/25/2020,43,133000,438462,51000
WMATA Bus and Rail,Transit,10/26/2020,44,269000,1065653,51000
WMATA Bus and Rail,Transit,10/27/2020,44,86000,716667,51000
WMATA Bus and Rail,Transit,10/28/2020,44,265000,1176829,51000
WMATA Bus and Rail,Transit,10/29/2020,44,239000,1051282,51000
WMATA Bus and Rail,Transit,10/30/2020,44,287000,1067021,51000
WMATA Bus and Rail,Transit,10/31/2020,44,201000,708571,51000
WMATA Bus and Rail,Transit,11/01/2020,44,133000,347268,51000
New York City MTA Rail,Transit,10/17/2020,43,1022323,3009820,140455
New York City MTA Rail,Transit,10/18/2020,43,883103,2683258,140455
New York City MTA Rail,Transit,10/19/2020,43,1987405,5760506,140455
New York City MTA Rail,Transit,10/20/2020,43,1739107,6079880,140455
New York City MTA Rail,Transit,10/21/2020,43,1767784,6291373,140455
New York City MTA Rail,Transit,10/22/2020,43,1770421,6382560,140455
New York City MTA Rail,Transit,10/23/2020,43,1763446,6142993,140455
New York City MTA Rail,Transit,10/24/2020,44,996761,2978250,140455
New York City MTA Rail,Transit,10/25/2020,44,868974,2427404,140455
New York City MTA Rail,Transit,10/26/2020,44,1907502,6278788,140455
New York City MTA Rail,Transit,10/27/2020,44,2538597,6230765,140455
New York City MTA Rail,Transit,10/28/2020,44,1761237,6267110,140455
New York City MTA Rail,Transit,10/29/2020,44,1661284,6045085,140455
New York City MTA Rail,Transit,10/30/2020,44,1678485,6201157,140455
San Francisco BART Rail,Transit,10/19/2020,43,51624,425900,7582
San Francisco BART Rail,Transit,10/20/2020,43,53785,425900,7582
San Francisco BART Rail,Transit,10/21/2020,43,54514,425900,7582
San Francisco BART Rail,Transit,10/22/2020,43,54513,425900,7582
San Francisco BART Rail,Transit,10/23/2020,43,55187,425900,7582
San Francisco BART Rail,Transit,10/24/2020,43,30724,161700,7582
San Francisco BART Rail,Transit,10/25/2020,43,22122,111200,7582
San Francisco BART Rail,Transit,10/26/2020,44,50927,410700,7582
San Francisco BART Rail,Transit,10/27/2020,44,54337,410700,7582
San Francisco BART Rail,Transit,10/28/2020,44,54806,410700,7582
San Francisco BART Rail,Transit,10/29/2020,44,55360,410700,7582
San Francisco BART Rail,Transit,10/30/2020,44,55705,410700,7582
San Francisco BART Rail,Transit,10/31/2020,44,30152,146300,7582
San Francisco BART Rail,Transit,11/01/2020,44,22698,103800,7582
New York City MTA Rail,Transit,10/31/2020,45,1023591,2993347,140455
New York City MTA Rail,Transit,11/01/2020,45,815280,3231996,140455
New York City MTA Rail,Transit,11/02/2020,45,1682318,6002760,140455
New York City MTA Rail,Transit,11/03/2020,45,1556473,5786238,140455
New York City MTA Rail,Transit,11/04/2020,45,1632858,6278877,140455
New York City MTA Rail,Transit,11/05/2020,45,1864417,6279268,140455
New York City MTA Rail,Transit,11/06/2020,45,2209812,6068926,140455
San Francisco BART Rail,Transit,11/02/2020,45,53287,410700,7582
San Francisco BART Rail,Transit,11/03/2020,45,52036,410700,7582
San Francisco BART Rail,Transit,11/04/2020,45,51903,410700,7582
San Francisco BART Rail,Transit,11/05/2020,45,54566,410700,7582
San Francisco BART Rail,Transit,11/06/2020,45,,,0
San Francisco BART Rail,Transit,11/07/2020,45,,,0
San Francisco BART Rail,Transit,11/08/2020,45,,,0
New York City MTA Rail,Transit,11/07/2020,46,1077091,3019392,140455
New York City MTA Rail,Transit,11/08/2020,46,892649,2681927,140455
New York City MTA Rail,Transit,11/09/2020,46,1679031,4953995,140455
New York City MTA Rail,Transit,11/10/2020,46,1764664,6029537,140455
New York City MTA Rail,Transit,11/11/2020,46,1556183,6062526,140455
New York City MTA Rail,Transit,11/12/2020,46,1694204,6653016,140455
New York City MTA Rail,Transit,11/13/2020,46,1714723,6307338,140455
New York City MTA Rail,Transit,11/14/2020,47,1053804,3483515,140455
New York City MTA Rail,Transit,11/15/2020,47,1427310,2595446,140455
New York City MTA Rail,Transit,11/16/2020,47,1656563,5777287,140455
New York City MTA Rail,Transit,11/17/2020,47,2052858,6132152,140455
New York City MTA Rail,Transit,11/18/2020,47,2099873,6208084,140455
New York City MTA Rail,Transit,11/19/2020,47,1675784,6249294,140455
New York City MTA Rail,Transit,11/20/2020,47,2029749,6122842,140455
San Francisco BART Rail,Transit,11/09/2020,46,51850,410700,7582
San Francisco BART Rail,Transit,11/10/2020,46,54464,410700,7582
San Francisco BART Rail,Transit,11/11/2020,46,46593,192300,7582
San Francisco BART Rail,Transit,11/12/2020,46,55171,410700,7582
San Francisco BART Rail,Transit,11/13/2020,46,51597,410700,7582
San Francisco BART Rail,Transit,11/14/2020,46,29366,146300,7582
San Francisco BART Rail,Transit,11/15/2020,46,21465,103800,7582
San Francisco BART Rail,Transit,11/16/2020,47,52357,410700,7582
San Francisco BART Rail,Transit,11/17/2020,47,49295,410700,7582
San Francisco BART Rail,Transit,11/18/2020,47,51845,410700,7582
San Francisco BART Rail,Transit,11/19/2020,47,53044,410700,7582
San Francisco BART Rail,Transit,11/20/2020,47,52703,410700,7582
San Francisco BART Rail,Transit,11/21/2020,47,,146300,0
San Francisco BART Rail,Transit,11/22/2020,47,,103800,0
WMATA Bus and Rail,Transit,11/02/2020,45,275000,1059658,51000
WMATA Bus and Rail,Transit,11/03/2020,45,273000,1129545,51000
WMATA Bus and Rail,Transit,11/04/2020,45,270000,1186364,51000
WMATA Bus and Rail,Transit,11/05/2020,45,285000,1140071,51000
WMATA Bus and Rail,Transit,11/06/2020,45,284000,1047024,51000
WMATA Bus and Rail,Transit,11/07/2020,45,219000,471314,51000
WMATA Bus and Rail,Transit,11/08/2020,45,156000,340870,51000
WMATA Bus and Rail,Transit,11/09/2020,46,279000,1058013,51000
WMATA Bus and Rail,Transit,11/10/2020,46,295000,1088537,51000
WMATA Bus and Rail,Transit,11/11/2020,46,195000,635417,51000
WMATA Bus and Rail,Transit,11/12/2020,46,260000,1091279,51000
WMATA Bus and Rail,Transit,11/13/2020,46,296000,1030667,51000
WMATA Bus and Rail,Transit,11/14/2020,46,217000,442870,51000
WMATA Bus and Rail,Transit,11/15/2020,46,137000,310641,51000
WMATA Bus and Rail,Transit,11/16/2020,47,262000,1069963,51000
WMATA Bus and Rail,Transit,11/17/2020,47,261000,1125813,51000
WMATA Bus and Rail,Transit,11/18/2020,47,258000,1124390,51000
WMATA Bus and Rail,Transit,11/19/2020,47,270000,1128788,51000
WMATA Bus and Rail,Transit,11/20/2020,47,291000,1021429,51000
WMATA Bus and Rail,Transit,11/21/2020,47,192000,436364,51000
WMATA Bus and Rail,Transit,11/22/2020,47,145000,330476,51000
New York City MTA Rail,Transit,11/21/2020,48,1005784,2970300,140455
New York City MTA Rail,Transit,11/22/2020,48,779121,2622587,140455
New York City MTA Rail,Transit,11/23/2020,48,1887217,5867874,140455
New York City MTA Rail,Transit,11/24/2020,48,2343273,6079285,140455
New York City MTA Rail,Transit,11/25/2020,48,1606806,5567912,140455
New York City MTA Rail,Transit,11/26/2020,48,649364,2287654,140455
New York City MTA Rail,Transit,11/27/2020,48,1923031,3533269,140455
WMATA Bus and Rail,Transit,11/23/2020,48,264000,1018803,51000
WMATA Bus and Rail,Transit,11/24/2020,48,274000,1019551,51000
WMATA Bus and Rail,Transit,11/25/2020,48,280000,793750,51000
WMATA Bus and Rail,Transit,11/26/2020,48,105000,191304,51000
WMATA Bus and Rail,Transit,11/27/2020,48,228000,726891,51000
WMATA Bus and Rail,Transit,11/28/2020,48,192000,436364,51000
WMATA Bus and Rail,Transit,11/29/2020,48,145000,330476,51000
San Francisco BART Rail,Transit,11/23/2020,48,50256,410700,7582
San Francisco BART Rail,Transit,11/24/2020,48,52091,410700,7582
San Francisco BART Rail,Transit,11/25/2020,48,49371,410700,7582
San Francisco BART Rail,Transit,11/26/2020,48,13628,192300,7582
San Francisco BART Rail,Transit,11/27/2020,48,31979,192300,7582
San Francisco BART Rail,Transit,11/28/2020,48,25882,146300,7582
San Francisco BART Rail,Transit,11/29/2020,48,19396,103800,7582
